idx,predictions,probabilities
1305,0,0.82
1323,0,0.8233333333333334
1342,1,0.5866666666666667
1348,0,0.6766666666666666
1353,0,0.5233333333333333
1363,0,0.75
1371,0,0.7033333333333334
1372,0,0.6866666666666666
1378,0,0.6366666666666667
1381,0,0.5866666666666667
1382,1,0.5866666666666667
1393,1,0.63
1394,0,0.9533333333333334
1398,1,0.55
1404,1,0.5333333333333333
1405,0,0.5066666666666667
1419,0,0.5266666666666666
1421,0,0.6333333333333333
1426,0,0.6133333333333333
1431,1,0.5633333333333334
1435,0,0.8533333333333334
1437,0,0.6833333333333333
1438,0,0.5366666666666666
1442,1,0.58
1464,0,0.9266666666666666
1471,0,0.66
1473,0,0.56
1476,0,0.93
1478,0,0.6133333333333333
1479,0,0.5233333333333333
1487,0,0.5033333333333333
1492,1,0.7366666666666667
1496,0,0.9233333333333333
1497,1,0.63
1515,0,0.9366666666666666
1519,0,0.7666666666666667
1522,1,0.5366666666666666
1526,1,0.55
1537,0,0.86
1538,1,0.7866666666666666
1540,0,0.82
1543,0,0.7266666666666667
1548,0,0.71
1549,0,0.6966666666666667
1556,1,0.6466666666666666
1564,0,0.9866666666666667
1570,0,0.6666666666666666
1577,1,0.5433333333333333
1585,0,0.8533333333333334
1590,0,0.7866666666666666
1592,1,0.55
1594,0,0.73
1596,1,0.6133333333333333
1598,0,0.57
1603,0,0.5833333333333334
1607,0,0.58
1612,0,0.9366666666666666
1627,0,0.9666666666666667
1629,1,0.76
1630,0,0.85
1640,0,0.6833333333333333
1641,0,0.6066666666666667
1646,0,0.7166666666666667
1662,0,0.52
1668,0,0.8733333333333333
1671,0,0.9433333333333334
1672,1,0.55
1673,1,0.6833333333333333
1686,0,0.6266666666666667
1688,1,0.79
1696,0,0.94
1701,0,0.92
1707,0,0.8033333333333333
1708,0,0.7666666666666667
1713,0,0.6
1715,0,0.6033333333333334
1717,0,0.92
1721,0,0.8666666666666667
1724,1,0.67
1725,1,0.55
1730,0,0.6233333333333333
1731,1,0.6633333333333333
1734,1,0.61
1740,0,0.8433333333333334
1748,0,0.95
1749,0,0.9
1750,1,0.69
1763,0,0.6
1768,0,0.9433333333333334
1773,1,0.62
1777,0,0.88
1778,1,0.57
1780,0,0.7933333333333333
1782,0,0.5766666666666667
1784,0,0.96
1786,0,0.78
1787,0,0.7966666666666666
1792,0,0.6666666666666666
1800,1,0.5466666666666666
1801,0,0.6966666666666667
1803,0,0.7966666666666666
1804,1,0.5333333333333333
1807,0,0.9733333333333334
1818,0,0.67
1821,0,0.9333333333333333
1822,0,0.9033333333333333
1828,0,0.92
1833,0,0.52
1844,0,0.5233333333333333
1847,1,0.52
1850,0,0.8966666666666666
1854,1,0.5433333333333333
1858,1,0.63
1864,0,0.6233333333333333
1867,0,0.78
1876,1,0.6133333333333333
1880,0,0.65
1881,0,0.7566666666666667
1891,0,0.55
1894,0,0.65
1895,0,0.9633333333333334
1901,0,0.5633333333333334
1905,0,0.9666666666666667
1912,1,0.5633333333333334
1918,1,0.5233333333333333
1921,0,0.7333333333333333
1923,0,0.6866666666666666
1924,0,0.6533333333333333
1931,0,0.88
1941,0,0.9533333333333334
1950,0,0.9366666666666666
1951,0,0.7466666666666667
1954,0,0.9166666666666666
1961,0,0.69
